Time	Open	High	Low	Close	Volume
2023.09.04 00:00	1.26281	1.26414	1.26044	1.26287	17470
2023.09.05 00:00	1.26272	1.2631000000000001	1.2527300000000001	1.2567	75471
2023.09.06 00:00	1.25658	1.25868	1.2481	1.2499	72059
2023.09.07 00:00	1.25001	1.25072	1.24447	1.24698	62603
2023.09.08 00:00	1.24695	1.25133	1.24501	1.24521	57173
2023.09.11 00:00	1.24745	1.25472	1.2468	1.25089	63035
2023.09.12 00:00	1.25094	1.2529	1.24585	1.24854	57836
2023.09.13 00:00	1.24876	1.25107	1.2433	1.2488	73242
2023.09.14 00:00	1.2488	1.25053	1.23957	1.24072	71664
2023.09.15 00:00	1.24068	1.24448	1.2377799999999999	1.23841	59821
2023.09.18 00:00	1.23832	1.24103	1.23672	1.23845	49584
2023.09.19 00:00	1.23845	1.2423899999999999	1.23691	1.23907	50217
2023.09.20 00:00	1.2391	1.24204	1.23236	1.23429	70167
2023.09.21 00:00	1.23435	1.23443	1.22324	1.22909	71507
2023.09.22 00:00	1.2291	1.22942	1.22296	1.22374	63775
2023.09.25 00:00	1.22367	1.22491	1.21928	1.2209	57997
2023.09.26 00:00	1.2209	1.2214800000000001	1.21512	1.21534	57227
2023.09.27 00:00	1.21536	1.21631	1.21094	1.21344	67812
2023.09.28 00:00	1.21345	1.2223600000000001	1.21192	1.2202600000000001	65661
2023.09.29 00:00	1.22013	1.22711	1.21793	1.22005	70373
2023.10.02 00:00	1.21791	1.2219	1.20847	1.20851	62251
2023.10.03 00:00	1.20846	1.21009	1.20514	1.20751	74163
2023.10.04 00:00	1.20681	1.2176	1.20362	1.21333	73985
2023.10.05 00:00	1.21329	1.21955	1.21067	1.21905	67533
2023.10.06 00:00	1.21906	1.22603	1.21048	1.22435	81120
2023.10.09 00:00	1.22001	1.22438	1.21621	1.22362	65567
2023.10.10 00:00	1.2230699999999999	1.22904	1.22108	1.22841	78942
2023.10.11 00:00	1.22809	1.23365	1.22607	1.23116	79231
2023.10.12 00:00	1.23129	1.23305	1.21708	1.2173	72982
2023.10.13 00:00	1.21715	1.22243	1.21216	1.21345	70363
2023.10.16 00:00	1.2138	1.22189	1.21279	1.2215799999999999	68769
2023.10.17 00:00	1.22009	1.22162	1.2132	1.2181899999999999	77930
2023.10.18 00:00	1.2181899999999999	1.221	1.21362	1.21389	83484
2023.10.19 00:00	1.2134800000000001	1.21908	1.2089	1.21417	94752
2023.10.20 00:00	1.2142	1.21692	1.20922	1.21569	76164
2023.10.23 00:00	1.2154	1.22576	1.21423	1.2248	69240
2023.10.24 00:00	1.22481	1.22876	1.21522	1.21589	75753
