Time	Open	High	Low	Close	Volume
2023.09.04 11:00	1.07958	1.07964	1.07926	1.07935	179
2023.09.04 12:00	1.07935	1.08047	1.07924	1.08035	1582
2023.09.04 13:00	1.08037	1.08084	1.07983	1.07991	1396
2023.09.04 14:00	1.07992	1.08006	1.07943	1.07963	1723
2023.09.04 15:00	1.07964	1.08044	1.07942	1.07946	1550
2023.09.04 16:00	1.07944	1.07946	1.07823	1.07833	1741
2023.09.04 17:00	1.07834	1.07989	1.07824	1.07977	1338
2023.09.04 18:00	1.07978	1.0799	1.07911	1.07928	655
2023.09.04 19:00	1.07928	1.07961	1.07922	1.07938	327
2023.09.04 20:00	1.07948	1.07964	1.07938	1.07944	360
2023.09.04 21:00	1.07944	1.07955	1.07921	1.07929	383
2023.09.04 22:00	1.07941	1.07968	1.07921	1.07921	492
2023.09.04 23:00	1.07961	1.07961	1.07851	1.07932	460
2023.09.05 00:00	1.07932	1.07977	1.07931	1.07935	547
2023.09.05 01:00	1.07935	1.0795	1.07902	1.07912	504
2023.09.05 02:00	1.07913	1.07935	1.07876	1.07921	942
2023.09.05 03:00	1.07922	1.07973	1.07843	1.07877	1412
2023.09.05 04:00	1.07878	1.07879	1.07825	1.07863	1108
2023.09.05 05:00	1.07863	1.07884	1.07798	1.07874	835
2023.09.05 06:00	1.07884	1.07937	1.07855	1.07911	1021
2023.09.05 07:00	1.07911	1.0793	1.0781	1.07849	1272
2023.09.05 08:00	1.0784799999999999	1.07853	1.07568	1.0765500000000001	3067
2023.09.05 09:00	1.07657	1.07706	1.07535	1.07554	4301
2023.09.05 10:00	1.07554	1.07577	1.07409	1.07473	3968
2023.09.05 11:00	1.07472	1.0756000000000001	1.07436	1.07473	2219
2023.09.05 12:00	1.07473	1.07486	1.07376	1.07385	2316
2023.09.05 13:00	1.07386	1.07389	1.07283	1.07314	2671
2023.09.05 14:00	1.07315	1.07469	1.07158	1.0743	5308
2023.09.05 15:00	1.07434	1.07477	1.07248	1.07281	6551
2023.09.05 16:00	1.07283	1.07289	1.07064	1.07073	5701
2023.09.05 17:00	1.07073	1.07313	1.07054	1.0725500000000001	4251
2023.09.05 18:00	1.0725500000000001	1.0731	1.07229	1.07284	2215
2023.09.05 19:00	1.07285	1.07303	1.07215	1.0722	1514
2023.09.05 20:00	1.07218	1.07265	1.07197	1.07205	1040
2023.09.05 21:00	1.07204	1.07271	1.07184	1.07203	1076
2023.09.05 22:00	1.07204	1.07223	1.07181	1.07206	460
2023.09.05 23:00	1.07206	1.07234	1.07198	1.07208	320
2023.09.06 00:00	1.07225	1.07262	1.07224	1.07251	255
2023.09.06 01:00	1.0725	1.07277	1.07228	1.07234	646
2023.09.06 02:00	1.07236	1.07249	1.07142	1.07182	903
2023.09.06 03:00	1.07183	1.07214	1.07125	1.07134	1443
2023.09.06 04:00	1.07134	1.07331	1.07134	1.07328	1253
2023.09.06 05:00	1.07328	1.07338	1.07281	1.07321	887
2023.09.06 06:00	1.0732	1.07359	1.07292	1.07347	669
2023.09.06 07:00	1.07348	1.0737700000000001	1.07317	1.07371	1368
2023.09.06 08:00	1.0737	1.07384	1.07265	1.07302	2712
2023.09.06 09:00	1.07302	1.07471	1.07233	1.0728	4276
2023.09.06 10:00	1.0728	1.07365	1.07236	1.0733	2818
2023.09.06 11:00	1.07329	1.07339	1.07237	1.07312	2309
2023.09.06 12:00	1.07313	1.07431	1.07313	1.07375	2090
2023.09.06 13:00	1.07375	1.07478	1.07375	1.07429	2558
2023.09.06 14:00	1.07427	1.07445	1.07332	1.0735999999999999	3121
2023.09.06 15:00	1.07359	1.07392	1.07242	1.07365	4977
2023.09.06 16:00	1.07361	1.07361	1.07017	1.07079	8055
2023.09.06 17:00	1.07078	1.07175	1.0704	1.07123	3708
2023.09.06 18:00	1.0712	1.07201	1.07103	1.07199	2274
2023.09.06 19:00	1.07198	1.07289	1.07191	1.07268	1313
2023.09.06 20:00	1.07268	1.0729	1.07213	1.07247	1257
2023.09.06 21:00	1.07248	1.07274	1.07222	1.0725	1377
2023.09.06 22:00	1.07249	1.0728	1.0723	1.07247	606
2023.09.06 23:00	1.07209	1.07256	1.07208	1.0722	277
2023.09.07 00:00	1.07226	1.07272	1.07224	1.0724	564
2023.09.07 01:00	1.0724	1.07252	1.07212	1.07236	296
2023.09.07 02:00	1.0723	1.07256	1.07181	1.07212	718
2023.09.07 03:00	1.07212	1.07308	1.07192	1.07305	997
2023.09.07 04:00	1.07298	1.07307	1.07222	1.07269	774
2023.09.07 05:00	1.07269	1.07314	1.07242	1.07298	555
2023.09.07 06:00	1.07298	1.07301	1.07172	1.07183	559
2023.09.07 07:00	1.07182	1.07205	1.07147	1.07182	1175
2023.09.07 08:00	1.07183	1.07245	1.07137	1.07156	2200
2023.09.07 09:00	1.07156	1.07187	1.0707200000000001	1.07146	3324
2023.09.07 10:00	1.07146	1.07162	1.07069	1.07094	2704
2023.09.07 11:00	1.07096	1.07169	1.07061	1.07135	2548
2023.09.07 12:00	1.07136	1.07139	1.07031	1.07052	2284
2023.09.07 13:00	1.07052	1.07125	1.0702	1.07043	1826
2023.09.07 14:00	1.07042	1.07097	1.06856	1.06923	5183
2023.09.07 15:00	1.06923	1.07032	1.069	1.06905	5452
2023.09.07 16:00	1.06905	1.07091	1.06854	1.0702	4456
2023.09.07 17:00	1.0702099999999999	1.07078	1.06936	1.0702099999999999	3151
2023.09.07 18:00	1.07022	1.07086	1.0702	1.07046	1658
2023.09.07 19:00	1.07024	1.07085	1.06975	1.06982	1510
2023.09.07 20:00	1.06983	1.07038	1.06931	1.06932	1325
2023.09.07 21:00	1.06931	1.0701100000000001	1.06928	1.06939	1551
2023.09.07 22:00	1.06938	1.06986	1.06938	1.06943	519
2023.09.07 23:00	1.06957	1.06969	1.06924	1.06967	212
2023.09.08 00:00	1.06965	1.06983	1.06947	1.06947	286
2023.09.08 01:00	1.06947	1.06973	1.06938	1.06973	353
2023.09.08 02:00	1.06963	1.07139	1.0695999999999999	1.0713	1651
2023.09.08 03:00	1.07129	1.07202	1.07009	1.0716	2062
2023.09.08 04:00	1.07162	1.07222	1.07134	1.07172	1313
2023.09.08 05:00	1.07172	1.0718	1.07138	1.07166	590
2023.09.08 06:00	1.07154	1.07166	1.07116	1.07124	533
2023.09.08 07:00	1.07125	1.07249	1.07125	1.07229	839
2023.09.08 08:00	1.0723	1.0727	1.07134	1.07144	1740
2023.09.08 09:00	1.07145	1.0718	1.07065	1.07076	3129
2023.09.08 10:00	1.07076	1.07164	1.07066	1.07108	2901
2023.09.08 11:00	1.07108	1.07108	1.06983	1.07023	3007
2023.09.08 12:00	1.07022	1.07037	1.06957	1.06994	2184
2023.09.08 13:00	1.06995	1.07042	1.06932	1.06981	2131
2023.09.08 14:00	1.06982	1.07125	1.06968	1.07013	3262
2023.09.08 15:00	1.07014	1.07253	1.06985	1.07253	4688
2023.09.08 16:00	1.07253	1.07428	1.0713300000000001	1.07141	4662
